Longitud de onda (nm),% de transmisión [1],% de transmisión [2],% de transmisión [3]
750,92.793561,89.428409,89.742169
749,92.669056,89.358029,89.446832
748,92.701577,89.257049,89.317162
747,92.87938,89.464456,89.499183
746,92.874293,89.636354,89.692111
745,92.83371,89.564061,89.375747
744,92.680979,89.258954,89.332816
743,92.624137,89.098625,89.157462
742,93.045016,89.280448,89.491582
741,92.806737,89.283194,89.488053
740,92.908475,89.372099,89.402688
739,92.713522,89.227405,89.219863
738,92.602895,89.105945,89.234735
737,92.532457,89.298,89.289094
736,92.752611,89.447805,89.521139
735,92.819274,89.350568,89.380079
734,92.723788,89.222105,89.331023
733,92.66588,89.149316,89.280192
732,92.978633,89.299798,89.339519
731,92.79676,89.11548,89.13503
730,92.833073,89.197975,89.506472
729,92.946871,89.468486,89.519092
728,92.574885,89.277418,89.300742
727,92.827148,89.258267,89.426185
726,92.679291,89.085614,89.232713
725,92.734899,89.252923,89.362707
724,92.952284,89.156163,89.334219
723,92.683823,89.173067,89.244021
722,92.73313,89.16997,89.367423
721,92.792026,89.294359,89.241212
720,92.655332,89.082813,89.147984
719,92.560003,89.285276,89.176294
718,92.673087,89.011237,89.231542
717,92.844337,89.169719,89.260296
716,92.645875,89.08397,89.169546
715,92.499994,89.010149,89.040406
714,92.635514,89.166493,89.300614
713,92.528822,88.745324,89.240536
712,92.577447,88.842448,89.006854
711,92.662317,89.068847,89.162692
710,92.691701,89.035506,89.121143
709,92.732196,89.129091,89.10784
708,92.662907,89.040909,89.201298
707,92.466461,88.822493,88.971825
706,92.499799,88.965227,89.050912
705,92.419333,88.96758,88.897469
704,92.486982,88.994573,89.097334
703,92.451976,88.896107,89.014105
702,92.417649,88.871431,88.905695
701,92.490708,88.893862,89.012072
700,92.509411,88.816012,88.92765
699,92.440694,88.891429,89.084287
698,92.404453,88.806131,88.879232
697,92.378307,88.790014,88.906516
696,92.450345,88.59426,88.753561
695,92.384315,88.754071,88.894555
694,92.38264,88.732774,88.780317
693,92.360852,88.690899,88.883573
692,92.36413,88.739349,88.6943
691,92.24375,88.486443,88.654378
690,92.257808,88.66992,88.647741
689,92.395874,88.651083,88.689131
688,92.337463,88.555121,88.730536
687,92.232312,88.571536,88.692072
686,92.349845,88.542711,88.627493
685,92.206143,88.55593,88.612192
684,92.270047,88.573375,88.675815
683,92.386094,88.640487,88.740724
682,92.399204,88.681635,88.786896
681,92.236672,88.612137,88.795029
680,92.282692,88.603388,88.68455
679,92.32144,88.703361,88.677704
678,92.299367,88.564922,88.67292
677,92.244483,88.570929,88.486229
676,92.283619,88.522814,88.704356
675,92.251106,88.517708,88.564059
674,92.115149,88.33764,88.58465
673,92.162263,88.39029,88.424582
672,92.423327,88.502183,88.617783
671,92.126832,88.478512,88.582336
670,92.319038,88.513514,88.573472
669,92.423815,88.593757,88.692942
668,92.045046,88.235953,88.427364
667,92.253367,88.522569,88.666342
666,92.468989,88.315924,88.908012
665,92.458184,88.632587,88.671377
664,92.288746,88.500189,88.69628
663,92.442271,88.624077,88.727606
662,92.362676,88.553374,88.766586
661,92.275482,88.585747,88.641467
660,92.450954,88.534771,88.620156
659,92.422998,88.556187,88.702815
658,92.46057,88.644259,88.568465
657,92.296835,88.485539,88.454952
656,92.349861,88.449006,88.528898
655,92.267858,88.237025,88.382025
654,92.416326,88.459598,88.383351
653,92.349307,88.478615,88.573278
652,92.283934,88.235344,88.529968
651,92.21909,88.394623,88.245105
650,92.238914,88.09185,88.194935
649,92.216947,88.206021,88.328327
648,92.157281,88.090546,88.365406
647,92.240249,88.322915,88.217221
646,92.129546,88.002437,88.303876
645,91.985342,88.139592,87.938666
644,92.133558,88.059559,88.296849
643,92.039626,88.031836,88.291125
642,92.120819,88.080778,88.101991
641,92.243475,88.201642,88.184296
640,92.135516,88.103102,88.067619
639,92.07858,87.943546,88.131635
638,92.084469,88.083986,88.166979
637,92.21561,88.092008,88.187252
636,92.080873,88.151113,88.072528
635,92.148022,88.219448,88.163489
634,91.946808,88.035741,87.995202
633,92.047782,87.959211,88.057772
632,91.99528,87.90313,87.892638
631,91.979405,87.769013,88.070205
630,91.995137,87.809752,88.176251
629,92.023284,87.988066,87.966781
628,91.918896,87.892281,88.034564
627,91.893775,87.853586,87.91914
626,91.771907,87.618195,87.842999
625,91.801558,87.710663,87.807807
624,91.857813,87.735066,87.936595
623,91.738683,87.759071,87.972643
622,91.720755,87.625725,87.729247
621,91.805124,87.717463,87.815021
620,91.692259,87.685337,87.688518
619,91.701427,87.641852,87.756427
618,91.711953,87.584431,87.781803
617,91.69129,87.46642,87.614408
616,91.661414,87.470289,87.562508
615,91.539086,87.52812,87.593635
614,91.663908,87.599868,87.838408
613,91.532118,87.5064,87.628182
612,91.615673,87.420631,87.659448
611,91.60421,87.31666,87.478008
610,91.670372,87.434353,87.530772
609,91.481866,87.304837,87.614134
608,91.530667,87.389955,87.55077
607,91.584635,87.389775,87.511105
606,91.686933,87.4796,87.509041
605,91.562621,87.582397,87.609877
604,91.598009,87.314443,87.364614
603,91.536768,87.356454,87.554296
602,91.40038,87.29508,87.307151
601,91.386358,87.311234,87.406901
600,91.345442,87.236576,87.308995
599,91.431462,87.254995,87.350488
598,91.44862,87.3034,87.298932
597,91.362529,87.275634,87.437196
596,91.356328,87.188303,87.276858
595,91.466376,87.316113,87.387929
594,91.399555,87.164879,87.233414
593,91.285074,87.213561,87.285649
592,91.28322,87.060397,87.123585
591,91.261095,86.918213,87.064409
590,91.403806,87.059182,87.223696
589,91.319772,87.051842,87.100919
588,91.298976,87.050628,87.312495
587,91.296332,87.132314,87.152322
586,91.261806,87.110652,87.093149
585,91.363701,87.055851,87.20935
584,91.442188,86.99167,87.105473
583,91.417117,87.062697,87.194063
582,91.281674,87.024081,87.13023
581,91.343146,87.041803,87.079435
580,91.237393,87.092173,87.208935
579,91.34567,87.043066,87.150844
578,91.339497,87.111808,87.145744
577,91.371553,86.924713,87.154678
576,91.260417,86.944349,87.075136
575,91.368708,86.978371,87.106587
574,91.373513,87.01368,87.130134
573,91.371419,87.061865,87.165143
572,91.331003,86.964587,87.242553
571,91.30397,87.074238,87.127895
570,91.278989,86.826518,86.97604
569,91.157262,86.783586,86.855528
568,91.287656,86.917809,86.995893
567,91.203701,86.802984,86.866707
566,91.067198,86.829829,86.746692
565,91.074516,86.811786,86.836352
564,91.102665,86.696987,86.926977
563,91.067274,86.700719,86.692026
562,90.986868,86.515682,86.571775
561,90.956417,86.563235,86.685473
560,90.976504,86.532613,86.743032
559,91.031465,86.678602,86.773102
558,90.990863,86.729706,86.769381
557,90.949505,86.547363,86.696507
556,90.861787,86.432044,86.620361
555,90.91666,86.533188,86.707922
554,90.914173,86.41755,86.582662
553,90.840696,86.453956,86.617638
552,90.892489,86.513905,86.706588
551,90.91621,86.50471,86.696764
550,90.809709,86.343223,86.422407
549,90.873308,86.489681,86.626324
548,90.852038,86.418095,86.533144
547,90.843576,86.48833,86.584005
546,90.786477,86.384208,86.490974
545,90.738508,86.325874,86.392621
544,90.862047,86.372576,86.493242
543,90.851236,86.384542,86.549046
542,90.905513,86.487923,86.656498
541,90.885892,86.406997,86.596178
540,90.79995,86.277199,86.455398
539,90.804583,86.447984,86.415636
538,90.806392,86.24517,86.391636
537,90.69775,86.210919,86.266127
536,90.735802,86.13827,86.351293
535,90.78372,86.254316,86.312841
534,90.778166,86.202698,86.393565
533,90.735549,86.225554,86.22947
532,90.686943,86.077686,86.240872
531,90.676406,86.050889,86.162305
530,90.786392,86.120467,86.230909
529,90.706815,86.174978,86.268453
528,90.68855,86.054706,86.256004
527,90.691817,86.145168,86.131798
526,90.714773,86.131599,86.289853
525,90.683956,86.078216,86.139114
524,90.587493,85.898853,86.076546
523,90.564319,85.956759,85.99415
522,90.535828,85.880445,86.022434
521,90.562132,85.861746,86.021872
520,90.54016,85.852199,85.862865
519,90.603058,85.815236,85.938666
518,90.572298,85.784701,85.884195
517,90.456559,85.809702,85.904266
516,90.56134,85.717682,85.899271
515,90.481576,85.814961,85.860148
514,90.458816,85.766848,85.796635
513,90.354083,85.612043,85.754273
512,90.405793,85.552459,85.683124
511,90.35807,85.568261,85.774491
510,90.318638,85.610383,85.621457
509,90.309827,85.604632,85.490062
508,90.281963,85.577422,85.64632
507,90.250882,85.543474,85.564325
506,90.24347,85.447186,85.515392
505,90.271262,85.492482,85.475349
504,90.291146,85.471682,85.606988
503,90.258683,85.498547,85.453399
502,90.173589,85.359004,85.356063
501,90.172312,85.338857,85.409984
500,90.165583,85.348834,85.416724
499,90.161644,85.295151,85.478771
498,90.165746,85.302684,85.341453
497,90.14368,85.289826,85.269328
496,90.117916,85.331459,85.358297
495,90.131423,85.345326,85.332094
494,90.124057,85.296237,85.285905
493,90.193228,85.253036,85.343012
492,90.094847,85.234137,85.410449
491,90.07335,85.135216,85.340068
490,90.012494,85.042272,85.149638
489,89.972972,85.188824,85.202856
488,90.012074,85.079259,85.139533
487,89.973821,85.016963,85.045593
486,89.968937,84.986255,84.97257
485,90.020721,85.133619,85.269539
484,90.063677,85.137318,85.279243
483,90.014797,85.068514,85.179007
482,89.969735,85.081324,85.185395
481,90.025434,84.99867,85.038664
480,89.921218,84.975798,84.983792
479,89.94712,85.153589,85.096233
478,89.907744,84.883445,85.037948
477,89.906427,84.913998,85.04419
476,89.801272,84.885533,84.939039
475,89.809288,84.836149,85.004776
474,89.822251,84.872003,84.874263
473,89.840153,84.901303,84.975124
472,89.848868,84.907985,84.906794
471,89.865079,84.921229,84.838826
470,89.862275,84.868679,84.948249
469,89.833645,84.685332,84.903875
468,89.843525,84.951359,84.981066
467,89.833993,84.830615,84.848379
466,89.819724,84.796277,84.884782
465,89.752395,84.745451,84.841427
464,89.658689,84.589108,84.73134
463,89.655741,84.540053,84.653859
462,89.672595,84.601448,84.620517
461,89.738789,84.600056,84.706056
460,89.673231,84.593837,84.729625
459,89.617237,84.549573,84.658454
458,89.650232,84.608076,84.657448
457,89.537696,84.425391,84.542832
456,89.594641,84.526015,84.71095
455,89.622425,84.51995,84.605214
454,89.526581,84.441864,84.492317
453,89.524572,84.43127,84.51115
452,89.454902,84.290698,84.444045
451,89.490973,84.461161,84.418128
450,89.463771,84.344892,84.348895
449,89.447083,84.174741,84.333436
448,89.386795,84.254471,84.349538
447,89.396976,84.225575,84.362195
446,89.37898,84.242536,84.284456
445,89.309931,84.160477,84.248368
444,89.302604,84.054017,84.218591
443,89.318351,84.087055,84.139549
442,89.284246,84.146795,84.135329
441,89.245028,84.095557,84.094551
440,89.260761,84.086573,84.109774
439,89.181192,84.059132,84.091268
438,89.159922,83.963718,84.067564
437,89.167437,83.803837,83.939334
436,89.125403,83.938835,84.067783
435,89.099069,83.923251,83.975923
434,89.113471,83.837377,84.01456
433,89.08418,83.821819,83.92906
432,89.157408,83.981331,83.989581
431,89.089633,83.927526,83.924183
430,89.035559,83.890283,83.942851
429,89.03886,83.913553,83.886192
428,89.012255,83.802987,83.906723
427,89.047136,83.792612,83.894385
426,88.989935,83.733534,83.788825
425,89.001228,83.815238,83.833035
424,89.020819,83.677653,83.802329
423,88.996351,83.751125,83.94133
422,89.041886,83.802087,83.823828
421,88.950924,83.630436,83.801561
420,88.956811,83.780292,83.763441
419,88.995794,83.647264,83.78398
418,88.921224,83.721731,83.812456
417,88.896272,83.650192,83.711257
416,88.851933,83.600401,83.719047
415,88.872091,83.626319,83.750002
414,88.833347,83.535487,83.783041
413,88.760722,83.486609,83.644358
412,88.76965,83.495749,83.543008
411,88.775121,83.492576,83.605186
410,88.720053,83.374916,83.465895
409,88.754397,83.482186,83.494686
408,88.712357,83.373677,83.502984
407,88.759872,83.471503,83.637771
406,88.727594,83.450725,83.555744
405,88.67851,83.370242,83.411847
404,88.639223,83.290089,83.47589
403,88.533685,83.159971,83.353186
402,88.579143,83.254049,83.279184
401,88.659187,83.238953,83.276376
400,88.550585,83.190577,83.312869
399,88.513892,83.025165,83.167816
398,88.563065,83.081773,83.15103
397,88.523762,83.093967,83.189806
396,88.481673,83.054523,83.049107
395,88.571192,83.093713,83.124512
394,88.526717,83.10156,83.176924
393,88.405385,82.937562,83.052432
392,88.345232,82.824583,82.947215
391,88.326703,82.792328,82.84214
390,88.380004,82.872552,82.854084
389,88.290308,82.666084,82.713839
388,88.188639,82.613383,82.759099
387,88.194296,82.517762,82.669685
386,88.170116,82.407593,82.529105
385,88.065756,82.341692,82.355817
384,87.985155,82.264064,82.403733
383,88.034774,82.334547,82.518652
382,88.06929,82.385077,82.499634
381,88.024645,82.308733,82.31461
380,88.140312,82.213482,82.383049
